验证总共用时: 1.936760009s, 下载账户:743.718163ms,下载交易:176.301841ms,验证交易签名:923.172315ms, GSwrite:68.753835ms
验证总共用时: 2.070463589s, 下载账户:907.201338ms,下载交易:145.598176ms,验证交易签名:945.029748ms, GSwrite:21.999097ms
验证总共用时: 2.218481409s, 下载账户:998.50763ms,下载交易:122.214339ms,验证交易签名:932.643292ms, GSwrite:118.827562ms
验证总共用时: 2.233737464s, 下载账户:1.065676928s,下载交易:193.781912ms,验证交易签名:811.601962ms, GSwrite:136.062388ms
验证总共用时: 2.289865692s, 下载账户:1.479189108s,下载交易:103.242218ms,验证交易签名:480.364293ms, GSwrite:196.082642ms
验证总共用时: 2.39864444s, 下载账户:1.244258663s,下载交易:96.882773ms,验证交易签名:974.951797ms, GSwrite:56.991189ms
验证总共用时: 2.973133111s, 下载账户:1.838932433s,下载交易:104.730331ms,验证交易签名:996.593426ms, GSwrite:9.114854ms
验证总共用时: 3.061065581s, 下载账户:1.914236689s,下载交易:112.523054ms,验证交易签名:976.3729ms, GSwrite:23.697981ms
验证总共用时: 3.170491056s, 下载账户:2.027369066s,下载交易:196.070552ms,验证交易签名:748.398773ms, GSwrite:28.808297ms
验证总共用时: 3.159044365s, 下载账户:1.854205078s,下载交易:185.944439ms,验证交易签名:1.089746557s, GSwrite:5.544155ms
验证总共用时: 3.163627366s, 下载账户:2.039215304s,下载交易:169.721105ms,验证交易签名:728.735275ms, GSwrite:5.94558ms
验证总共用时: 3.211001881s, 下载账户:1.889767024s,下载交易:300.343286ms,验证交易签名:990.882433ms, GSwrite:5.99105ms
验证总共用时: 3.261907529s, 下载账户:2.132242524s,下载交易:104.09866ms,验证交易签名:905.054957ms, GSwrite:78.497288ms
验证总共用时: 3.297651671s, 下载账户:1.778241858s,下载交易:109.616721ms,验证交易签名:1.287080386s, GSwrite:30.224672ms
验证总共用时: 3.310672162s, 下载账户:2.40906278s,下载交易:176.342762ms,验证交易签名:689.122183ms, GSwrite:10.900865ms
验证总共用时: 3.31877716s, 下载账户:2.060682753s,下载交易:200.387127ms,验证交易签名:1.023327033s, GSwrite:5.987697ms
验证总共用时: 3.345109499s, 下载账户:2.222152829s,下载交易:193.933114ms,验证交易签名:888.068013ms, GSwrite:9.977019ms
验证总共用时: 3.462160487s, 下载账户:2.493266606s,下载交易:191.144977ms,验证交易签名:575.549313ms, GSwrite:10.79002ms
验证总共用时: 3.563412933s, 下载账户:2.75306217s,下载交易:150.473976ms,验证交易签名:569.963758ms, GSwrite:8.6365ms
验证总共用时: 3.991968525s, 下载账户:2.935569044s,下载交易:185.449897ms,验证交易签名:639.674006ms, GSwrite:10.138541ms
验证总共用时: 1.442872162s, 下载账户:627.757403ms,下载交易:40.533488ms,验证交易签名:674.89123ms, GSwrite:61.241252ms
验证总共用时: 1.684159247s, 下载账户:771.261106ms,下载交易:40.244119ms,验证交易签名:687.545785ms, GSwrite:76.204133ms
验证总共用时: 1.890951318s, 下载账户:808.80542ms,下载交易:43.885218ms,验证交易签名:958.203652ms, GSwrite:7.562223ms
验证总共用时: 2.215683713s, 下载账户:1.138226368s,下载交易:182.93321ms,验证交易签名:859.476911ms, GSwrite:8.464622ms
验证总共用时: 2.349688218s, 下载账户:1.461418262s,下载交易:45.028568ms,验证交易签名:646.285946ms, GSwrite:7.499257ms
验证总共用时: 2.53280942s, 下载账户:1.703709994s,下载交易:44.807136ms,验证交易签名:546.730654ms, GSwrite:8.84343ms
验证总共用时: 2.464899029s, 下载账户:1.274807193s,下载交易:69.003956ms,验证交易签名:1.014656709s, GSwrite:63.029238ms
验证总共用时: 2.543749211s, 下载账户:1.331589251s,下载交易:88.218689ms,验证交易签名:1.078944181s, GSwrite:7.198151ms
验证总共用时: 2.932250767s, 下载账户:1.745804868s,下载交易:43.185515ms,验证交易签名:888.53365ms, GSwrite:68.855762ms
验证总共用时: 2.971723237s, 下载账户:1.608796308s,下载交易:60.370057ms,验证交易签名:1.030209669s, GSwrite:120.670511ms
验证总共用时: 2.933879809s, 下载账户:1.934604201s,下载交易:185.984636ms,验证交易签名:648.267209ms, GSwrite:105.802294ms
验证总共用时: 2.906786662s, 下载账户:1.54302006s,下载交易:174.797608ms,验证交易签名:987.009548ms, GSwrite:144.488293ms
验证总共用时: 2.907400979s, 下载账户:1.848111122s,下载交易:343.018328ms,验证交易签名:545.459738ms, GSwrite:143.542673ms
验证总共用时: 2.993963159s, 下载账户:1.98950367s,下载交易:174.120498ms,验证交易签名:727.250507ms, GSwrite:48.117823ms
验证总共用时: 3.108305229s, 下载账户:1.875513978s,下载交易:256.070228ms,验证交易签名:764.822949ms, GSwrite:50.715943ms
验证总共用时: 3.232825095s, 下载账户:2.364919049s,下载交易:248.124192ms,验证交易签名:559.663325ms, GSwrite:20.746784ms
验证总共用时: 2.651364868s, 下载账户:1.496488392s,下载交易:460.74392ms,验证交易签名:569.822477ms, GSwrite:20.321729ms
验证总共用时: 3.313232059s, 下载账户:1.638541015s,下载交易:692.63275ms,验证交易签名:740.89765ms, GSwrite:11.817154ms
验证总共用时: 3.17927266s, 下载账户:2.287729599s,下载交易:157.200788ms,验证交易签名:692.665326ms, GSwrite:9.237877ms
验证总共用时: 2.875862843s, 下载账户:1.860317666s,下载交易:276.798513ms,验证交易签名:636.219055ms, GSwrite:10.37718ms
验证总共用时: 1.762616864s, 下载账户:736.952007ms,下载交易:54.670882ms,验证交易签名:851.81445ms, GSwrite:20.414182ms
验证总共用时: 2.075903965s, 下载账户:1.146580377s,下载交易:37.514475ms,验证交易签名:795.919601ms, GSwrite:43.705852ms
验证总共用时: 2.069108543s, 下载账户:1.269138471s,下载交易:100.878236ms,验证交易签名:535.052488ms, GSwrite:7.568422ms
验证总共用时: 2.290001137s, 下载账户:1.589921417s,下载交易:56.158402ms,验证交易签名:611.068005ms, GSwrite:9.090115ms
验证总共用时: 2.635250117s, 下载账户:1.511590743s,下载交易:58.330959ms,验证交易签名:1.00536555s, GSwrite:41.209194ms
验证总共用时: 2.620227205s, 下载账户:1.594672147s,下载交易:58.814197ms,验证交易签名:831.941759ms, GSwrite:75.993138ms
验证总共用时: 2.816806813s, 下载账户:1.871086287s,下载交易:71.022749ms,验证交易签名:718.045767ms, GSwrite:73.691118ms
验证总共用时: 2.875303033s, 下载账户:1.153153159s,下载交易:39.124915ms,验证交易签名:1.357119851s, GSwrite:176.048381ms
验证总共用时: 2.663319185s, 下载账户:1.507199632s,下载交易:74.262622ms,验证交易签名:851.266576ms, GSwrite:99.690717ms
验证总共用时: 2.881400251s, 下载账户:1.725636366s,下载交易:50.059192ms,验证交易签名:825.268069ms, GSwrite:27.958241ms
验证总共用时: 2.851248785s, 下载账户:1.851723094s,下载交易:94.559503ms,验证交易签名:633.28662ms, GSwrite:27.835808ms
验证总共用时: 2.940621978s, 下载账户:1.733019015s,下载交易:65.304921ms,验证交易签名:945.086513ms, GSwrite:7.66219ms
验证总共用时: 3.159274385s, 下载账户:1.927669335s,下载交易:85.607177ms,验证交易签名:961.309451ms, GSwrite:10.532046ms
验证总共用时: 2.690342945s, 下载账户:2.030826448s,下载交易:62.960635ms,验证交易签名:560.771862ms, GSwrite:7.786487ms
验证总共用时: 3.166459512s, 下载账户:2.079712782s,下载交易:56.829815ms,验证交易签名:930.541837ms, GSwrite:12.130353ms
验证总共用时: 2.850682135s, 下载账户:2.248672287s,下载交易:89.250531ms,验证交易签名:465.426607ms, GSwrite:10.437437ms
验证总共用时: 2.861940497s, 下载账户:2.072370554s,下载交易:144.396016ms,验证交易签名:555.048326ms, GSwrite:9.485064ms
验证总共用时: 2.878828461s, 下载账户:1.993700552s,下载交易:103.694915ms,验证交易签名:677.792633ms, GSwrite:10.739881ms
验证总共用时: 3.210799578s, 下载账户:2.254224908s,下载交易:74.33639ms,验证交易签名:698.794893ms, GSwrite:15.359762ms
验证总共用时: 3.169435694s, 下载账户:1.906856415s,下载交易:207.643798ms,验证交易签名:864.226764ms, GSwrite:14.362704ms
验证总共用时: 1.759807915s, 下载账户:854.800753ms,下载交易:52.09757ms,验证交易签名:599.96872ms, GSwrite:147.772155ms
验证总共用时: 2.119412395s, 下载账户:952.34282ms,下载交易:47.874005ms,验证交易签名:969.090873ms, GSwrite:27.47225ms
验证总共用时: 2.189046013s, 下载账户:1.174406986s,下载交易:75.521006ms,验证交易签名:884.423119ms, GSwrite:10.748797ms
验证总共用时: 2.065714821s, 下载账户:1.26040295s,下载交易:121.821039ms,验证交易签名:556.067895ms, GSwrite:93.673199ms
验证总共用时: 2.293959901s, 下载账户:913.843532ms,下载交易:37.231961ms,验证交易签名:1.104699937s, GSwrite:158.91509ms
验证总共用时: 2.737555666s, 下载账户:1.317873597s,下载交易:61.43535ms,验证交易签名:894.982709ms, GSwrite:144.591253ms
验证总共用时: 2.920621369s, 下载账户:1.956373641s,下载交易:127.842512ms,验证交易签名:702.971987ms, GSwrite:103.797794ms
验证总共用时: 2.975080293s, 下载账户:1.569856936s,下载交易:245.255567ms,验证交易签名:935.941038ms, GSwrite:11.390318ms
验证总共用时: 3.56220688s, 下载账户:2.516520699s,下载交易:51.699042ms,验证交易签名:726.34196ms, GSwrite:7.935508ms
验证总共用时: 3.340115097s, 下载账户:2.017401469s,下载交易:336.269533ms,验证交易签名:733.681669ms, GSwrite:9.47883ms
验证总共用时: 3.588996955s, 下载账户:2.245948722s,下载交易:137.662436ms,验证交易签名:1.098256458s, GSwrite:6.984446ms
验证总共用时: 2.942598316s, 下载账户:1.442031284s,下载交易:328.916124ms,验证交易签名:1.080543232s, GSwrite:21.601877ms
